,type,id,group_id,name,state,lat,lon,altitude,valid_from,valid_to,has_sunshine,has_global_radiation,is_active
392,INDIVIDUAL,13305,217.0,Kapfenberg,Steiermark,47.44592,15.29828,504.7,1997-02-17T12:40:00+00:00,2018-05-23T04:50:00+00:00,True,True,False
393,INDIVIDUAL,13308,,Frohnleiten,Steiermark,47.25556,15.315,421.0,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
394,INDIVIDUAL,13312,,Leoben,Steiermark,47.37833,15.08667,544.0,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
395,INDIVIDUAL,13401,217.0,Kapfenberg Flugfeld,Steiermark,47.45833,15.33556,515.0,2018-05-23T14:50:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
396,INDIVIDUAL,13515,25.0,Fischbach,Steiermark,47.44417,15.64389,1034.4,2004-11-09T12:10:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
397,INDIVIDUAL,13605,,Hartberg,Steiermark,47.28056,15.97861,329.6,1994-10-24T13:10:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
398,INDIVIDUAL,13606,,Rohrbach an der Lafnitz/Eichberg,Steiermark,47.4,15.93694,692.0,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
399,INDIVIDUAL,13640,,Kroisegg,Burgenland,47.378613,16.042223,444.0,2016-06-07T00:10:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
400,INDIVIDUAL,13702,13.0,Bernstein,Burgenland,47.40833,16.26139,630.8,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
401,INDIVIDUAL,13706,140.0,Bad Tatzmannsdorf,Burgenland,47.33797,16.225,347.2,2004-09-17T09:50:00+00:00,2024-01-24T14:00:00+00:00,True,False,False
402,INDIVIDUAL,13707,140.0,Bad Tatzmannsdorf,Burgenland,47.328056,16.228056,332.0,2024-01-24T14:10:00+00:00,2100-12-31T00:00:00+00:00,True,False,True
403,INDIVIDUAL,13805,,Hirschenstein,Burgenland,47.345276,16.379168,858.9,2006-01-01T00:00:00+00:00,2014-09-18T00:00:00+00:00,True,True,False
404,INDIVIDUAL,13811,180.0,Rechnitz,Burgenland,47.30139,16.45417,308.0,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,False,True
405,INDIVIDUAL,13906,58.0,Lutzmannsburg,Burgenland,47.46417,16.66056,201.0,1995-10-03T09:30:00+00:00,2000-05-31T23:50:00+00:00,True,False,False
406,INDIVIDUAL,13907,58.0,Lutzmannsburg,Burgenland,47.46528,16.64556,200.8,2000-06-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
407,INDIVIDUAL,14103,181.0,Bludenz,Vorarlberg,47.14778,9.82944,571.0,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
408,INDIVIDUAL,14104,181.0,Bludenz,Vorarlberg,47.154167,9.823611,564.8,2006-01-01T00:00:00+00:00,2015-09-11T00:00:00+00:00,True,True,False
409,INDIVIDUAL,14115,,Brand,Vorarlberg,47.10306,9.73833,1029.0,2001-06-01T00:40:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
410,INDIVIDUAL,14302,119.0,St. Anton am Arlberg,Tirol,47.13139,10.26667,1304.1,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
411,INDIVIDUAL,14305,,Galzig,Tirol,47.12972,10.23028,2079.0,1994-02-09T11:40:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
412,INDIVIDUAL,14308,,Valluga,Tirol,47.1575,10.21278,2805.0,2016-12-14T00:10:00+00:00,2100-12-31T00:00:00+00:00,False,False,True
413,INDIVIDUAL,14311,,Langen am Arlberg,Vorarlberg,47.13167,10.12333,1221.0,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
414,INDIVIDUAL,14403,50.0,Landeck,Tirol,47.14025,10.56364,795.6,1993-12-23T09:50:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
415,INDIVIDUAL,14513,38.0,Imst,Tirol,47.23694,10.74222,773.0,2007-08-20T00:10:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
416,INDIVIDUAL,14521,138.0,Prutz,Tirol,47.06861,10.66472,871.0,2004-11-30T17:10:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
417,INDIVIDUAL,14603,126.0,Haiming,Tirol,47.25972,10.88944,659.0,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
418,INDIVIDUAL,14622,210.0,St. Leonhard im Pitztal,Tirol,47.02722,10.86556,1454.4,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
419,INDIVIDUAL,14631,136.0,Umhausen,Tirol,47.13917,10.92889,1035.0,2003-06-01T00:10:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
420,INDIVIDUAL,14701,,Neustift/Milders,Tirol,47.10278,11.29194,1006.6,2004-11-04T17:30:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
421,INDIVIDUAL,14801,16.0,Brenner,Tirol,47.005554,11.513333,1445.0,1992-12-16T10:30:00+00:00,2008-02-01T00:00:00+00:00,True,True,False
422,INDIVIDUAL,14802,16.0,Brenner,Tirol,47.00722,11.51083,1412.0,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
423,INDIVIDUAL,14812,196.0,Patscherkofel,Tirol,47.20889,11.46222,2251.0,1993-08-25T13:40:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
424,INDIVIDUAL,14822,127.0,Rinn,Tirol,47.24917,11.50389,924.1,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
425,INDIVIDUAL,14825,,Schmirn,Tirol,47.08722,11.58028,1464.0,2004-11-03T16:10:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
426,INDIVIDUAL,14833,139.0,Steinach am Brenner,Tirol,47.09833,11.46611,1036.0,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
427,INDIVIDUAL,14912,,Hintertux,Tirol,47.10694,11.675,1503.0,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,False,True
428,INDIVIDUAL,15001,61.0,Mayrhofen,Tirol,47.159443,11.850555,643.0,1992-11-21T00:10:00+00:00,2007-09-06T00:00:00+00:00,True,True,True
429,INDIVIDUAL,15002,61.0,Mayrhofen,Tirol,47.1625,11.85139,640.0,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
430,INDIVIDUAL,15105,47.0,Krimml,Salzburg,47.22911,12.18197,1008.8,1997-06-27T10:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
431,INDIVIDUAL,15210,,Virgen,Tirol,47.00278,12.45592,1211.9,1993-05-21T09:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
432,INDIVIDUAL,15321,82.0,Rudolfshütte,Salzburg,47.13492,12.62594,2317.0,1992-12-02T08:50:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
433,INDIVIDUAL,15344,43.0,Kals,Tirol,47.00478,12.6465,1352.4,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
434,INDIVIDUAL,15402,78.0,Rauris,Salzburg,47.22353,12.99262,933.8,1993-06-17T08:50:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
435,INDIVIDUAL,15411,213.0,Sonnblick,Salzburg,47.05417,12.9575,3109.0,1997-08-31T16:40:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
436,INDIVIDUAL,15430,,Kolm-Saigurn,Salzburg,47.06944,12.98472,1626.2,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
437,INDIVIDUAL,15501,7.0,Bad Gastein,Salzburg,47.11056,13.13336,1092.0,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
438,INDIVIDUAL,15509,,Großarltal,Salzburg,47.24144,13.19478,882.3,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,False,True
439,INDIVIDUAL,15600,68.0,Obertauern,Salzburg,47.26667,13.56667,1742.0,1992-08-29T00:10:00+00:00,1994-04-20T14:00:00+00:00,True,True,False
440,INDIVIDUAL,15610,68.0,Obertauern,Salzburg,47.24889,13.55972,1772.0,1994-12-14T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
441,INDIVIDUAL,15640,,Kölnbreinsperre,Kärnten,47.08305,13.346111,1916.0,2021-11-23T00:20:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
442,INDIVIDUAL,15702,92.0,St. Michael im Lungau,Salzburg,47.09447,13.62269,1051.9,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
443,INDIVIDUAL,15712,98.0,Tamsweg,Salzburg,47.13306,13.80833,1025.0,2008-07-09T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
444,INDIVIDUAL,15715,,Katschberg,Kärnten,47.06056,13.61472,1635.0,1998-11-10T13:20:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
445,INDIVIDUAL,15721,,Mariapfarr,Salzburg,47.15222,13.745,1151.0,1992-08-29T00:10:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
446,INDIVIDUAL,15901,182.0,Oberwölz,Steiermark,47.20206,14.28669,842.1,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
447,INDIVIDUAL,15912,97.0,Stolzalpe,Steiermark,47.12303,14.18822,1291.0,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
448,INDIVIDUAL,15920,,Murau,Steiermark,47.11111,14.17694,816.0,1992-08-29T00:10:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
449,INDIVIDUAL,16015,64.0,Neumarkt,Steiermark,47.06972,14.42472,869.0,1993-07-29T11:10:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
450,INDIVIDUAL,16101,115.0,Zeltweg,Steiermark,47.19983,14.74689,677.6,1992-08-29T00:10:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
451,INDIVIDUAL,16308,,Köflach,Steiermark,47.070277,15.087222,465.0,2004-10-28T13:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
452,INDIVIDUAL,16400,,Graz Thalerhof Flughafen,Steiermark,46.98056,15.44,340.0,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
453,INDIVIDUAL,16411,94.0,St. Radegund,Steiermark,47.18211,15.48978,726.3,2002-07-31T14:20:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
454,INDIVIDUAL,16412,30.0,Graz Universität,Steiermark,47.07767,15.44892,366.7,1992-08-29T00:10:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
455,INDIVIDUAL,16413,,Graz Straßgang,Steiermark,47.04611,15.41028,356.5,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
456,INDIVIDUAL,16414,30.0,Graz Universität/Heinrichstraße,Steiermark,47.08,15.448056,366.0,2022-09-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,False,False,True
457,INDIVIDUAL,16421,86.0,Schöckl,Steiermark,47.19861,15.46639,1443.0,1993-02-16T13:30:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
458,INDIVIDUAL,16501,200.0,Gleisdorf,Steiermark,47.11556,15.70806,377.3,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
459,INDIVIDUAL,16511,53.0,Laßnitzhöhe,Steiermark,47.07361,15.59222,530.0,1992-08-29T00:10:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
460,INDIVIDUAL,16521,201.0,Weiz,Steiermark,47.218334,15.634444,465.7,2006-01-01T00:00:00+00:00,2013-05-28T00:00:00+00:00,True,True,False
461,INDIVIDUAL,16601,154.0,Fürstenfeld,Steiermark,47.03083,16.08083,271.0,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
462,INDIVIDUAL,16702,183.0,Güssing,Burgenland,47.0625,16.32186,215.3,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
463,INDIVIDUAL,16711,202.0,Wörterberg,Burgenland,47.22619,16.09678,403.6,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
464,INDIVIDUAL,16800,49.0,Kleinzicken,Burgenland,47.2075,16.326667,263.0,1994-04-07T11:20:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
465,INDIVIDUAL,16905,220.0,Gaschurn,Vorarlberg,46.98583,10.02861,976.3,2006-01-01T00:00:00+00:00,2021-10-07T11:30:00+00:00,True,True,False
466,INDIVIDUAL,16906,220.0,Gaschurn,Vorarlberg,46.980278,10.031667,985.0,2020-09-01T11:10:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
467,INDIVIDUAL,17002,28.0,Galtür,Tirol,46.96806,10.18556,1587.0,1997-02-13T09:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
468,INDIVIDUAL,17005,,Ischgl-Idalpe,Tirol,46.9825,10.31722,2327.0,1993-02-17T14:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
469,INDIVIDUAL,17102,121.0,Nauders,Tirol,46.89111,10.49694,1330.2,2004-04-27T17:30:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
470,INDIVIDUAL,17301,66.0,Obergurgl,Tirol,46.86694,11.02444,1941.0,1999-01-04T11:20:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
471,INDIVIDUAL,17315,184.0,Pitztaler Gletscher,Tirol,46.92706,10.87914,2863.9,1993-12-09T12:20:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
472,INDIVIDUAL,17320,,Brunnenkogel,Tirol,46.91278,10.86167,3437.0,2002-01-28T08:50:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
473,INDIVIDUAL,17701,185.0,St. Jakob im Defereggental,Tirol,46.91694,12.35389,1383.0,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
474,INDIVIDUAL,17901,55.0,Lienz,Tirol,46.82555,12.80639,661.0,1992-08-29T00:10:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
475,INDIVIDUAL,18001,137.0,Döllach,Kärnten,46.95806,12.9025,1071.0,2004-05-25T17:20:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
476,INDIVIDUAL,18111,149.0,Mallnitz,Kärnten,46.99194,13.16667,1197.0,1992-08-29T00:10:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
477,INDIVIDUAL,18121,69.0,Obervellach,Kärnten,46.92889,13.22333,809.0,1996-02-28T13:00:00+00:00,2015-02-03T00:00:00+00:00,True,True,False
478,INDIVIDUAL,18122,69.0,Obervellach,Kärnten,46.93528,13.19444,688.0,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
479,INDIVIDUAL,18210,62.0,Millstatt,Kärnten,46.80806,13.57278,721.0,2005-04-27T12:40:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
480,INDIVIDUAL,18225,150.0,Spittal an der Drau,Kärnten,46.7905,13.48725,541.7,1997-09-01T04:30:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
481,INDIVIDUAL,18231,,Gmünd,Kärnten,46.90278,13.53417,738.4,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
